MAL_ID,Name,Score,Genres,English name,Type,Episodes,Aired,Status,Premiered,Producers,Licensors,Studios,Source,Rating,Ranked,Popularity
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Neon Genesis Evangelion:Death & Rebirth,Movie,1,15-Mar-97,Incomplete,Unknown,"Movic, Sega, TV Tokyo Music, Audio Tanaka",Manga Entertainment,"Gainax, Production I.G",Original,R - 17+ (violence & profanity),1742,833
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion:The End of Evangelion,Movie,1,19-Jul-97,Incomplete,Unknown,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",Manga Entertainment,"Gainax, Production I.G",Original,R+ - Mild Nudity,102,195
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",Berserk,TV,25,"Oct 8, 1997 to Apr 1, 1998",Completed,Fall 1997,"VAP, Hakusensha, Nippon Television Network","Media Blasters, NYAV Post",OLM,Manga,R+ - Mild Nudity,108,301
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Ghost in the Shell,Movie,1,18-Nov-95,Incomplete,Unknown,"Bandai Visual, Kodansha",Manga Entertainment,Production I.G,Manga,R+ - Mild Nudity,236,265
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",Samurai X:Trust and Betrayal,OVA,4,"Feb 20, 1999 to Sep 22, 1999",Completed,Unknown,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,R - 17+ (violence & profanity),37,637
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",Rurouni Kenshin,TV,94,"Jan 10, 1996 to Sep 8, 1998",Completed,Winter 1996,"Aniplex, SME Visual Works, Fuji TV",Media Blasters,"Gallop, Studio Deen",Manga,PG-13 - Teens 13 or older,220,345
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Samurai X:The Motion Picture,Movie,1,20-Dec-97,Incomplete,Unknown,"Fuji TV, Sony Music Entertainment","ADV Films, Aniplex of America",Gallop,Manga,R - 17+ (violence & profanity),1397,2411
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",AKIRA,Movie,1,16-Jul-88,Incomplete,Unknown,"Mainichi Broadcasting System, Kodansha, Toho","Funimation, Bandai Entertainment, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,R+ - Mild Nudity,333,197
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//Sign,TV,26,"Apr 4, 2002 to Sep 26, 2002",Completed,Spring 2002,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,PG-13 - Teens 13 or older,3687,940
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",Oh! My Goddess,OVA,5,"Feb 21, 1993 to May 17, 1994",Completed,Unknown,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AnimEigo,AIC,Manga,PG-13 - Teens 13 or older,2226,2360
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",Ah! My Goddess,TV,24,"Jan 7, 2005 to Jul 8, 2005",Completed,Winter 2005,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,PG-13 - Teens 13 or older,2116,1083
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",Angel Sanctuary,OVA,3,"May 25, 2000 to Aug 25, 2000",Completed,Unknown,"Bandai Visual, AIC, Lantis, Audio Tanaka",Media Blasters,Hal Film Maker,Manga,R+ - Mild Nudity,6823,2419
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",Battle Doll Angelic Layer,TV,26,"Apr 1, 2001 to Sep 23, 2001",Completed,Spring 2001,TV Tokyo Music,"ADV Films, Sentai Filmworks",Bones,Manga,PG-13 - Teens 13 or older,2529,2232
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",Ai Yori Aoshi,TV,24,"Apr 11, 2002 to Sep 26, 2002",Completed,Spring 2002,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,PG-13 - Teens 13 or older,3012,1465
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Unknown,Movie,1,17-Apr-04,Incomplete,Unknown,"Mainichi Broadcasting System, Toho, TYO Animations, TYO","Sentai Filmworks, Geneon Entertainment USA",Digital Frontier,Manga,R - 17+ (violence & profanity),3206,1901
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",Unknown,TV,26,"Apr 5, 1999 to Sep 11, 1999",Completed,Spring 1999,"Sony Pictures Entertainment, Aniplex",ADV Films,Bee Train,Game,R - 17+ (violence & profanity),5738,4259
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",Unknown,TV,13,"Oct 2, 2003 to Dec 25, 2003",Completed,Fall 2003,Production I.G,Bandai Entertainment,"Bee Train, Xebec",Original,R - 17+ (violence & profanity),8501,4073
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",Beck:Mongolian Chop Squad,TV,26,"Oct 7, 2004 to Mar 31, 2005",Completed,Fall 2004,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Funimation,Madhouse,Manga,R - 17+ (violence & profanity),221,570
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",Blue Gender,TV,26,"Oct 8, 1999 to Mar 31, 2000",Completed,Fall 1999,"Youmex, Toshiba EMI",Funimation,AIC,Original,R+ - Mild Nudity,3455,1886
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,TV,26,"Apr 3, 2002 to Sep 25, 2002",Completed,Spring 2002,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,PG-13 - Teens 13 or older,1804,332
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",Chrono Crusade,TV,24,"Nov 25, 2003 to Jun 10, 2004",Completed,Fall 2003,"Lantis, Kadokawa Shoten, Fuji TV","ADV Films, Funimation",Gonzo,Manga,R - 17+ (violence & profanity),1120,742
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",D.N.Angel,TV,26,"Apr 3, 2003 to Sep 25, 2003",Completed,Spring 2003,Kadokawa Shoten,"ADV Films, Discotek Media",Xebec,Manga,PG-13 - Teens 13 or older,2761,891
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",D.C.~Da Capo~,TV,26,"Jul 5, 2003 to Dec 27, 2003",Completed,Summer 2003,"Lantis, King Records",Unknown,"feel., Zexcs",Visual novel,PG-13 - Teens 13 or older,4589,1852
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",DearS,TV,12,"Jul 11, 2004 to Sep 26, 2004",Completed,Summer 2004,"Bandai Visual, Hal Film Maker, Genco, Lantis","Discotek Media, Geneon Entertainment USA",Daume,Manga,R+ - Mild Nudity,5274,1146
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden,TV,12,"Oct 8, 2004 to Dec 24, 2004",Completed,Fall 2004,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,PG-13 - Teens 13 or older,1782,846
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden:Träumend,TV,12,"Oct 21, 2005 to Jan 27, 2006",Completed,Fall 2005,"Mellow Head, TBS","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,PG-13 - Teens 13 or older,1146,1479
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",Azumanga Daioh:The Animation,TV,26,"Apr 9, 2002 to Oct 1, 2002",Completed,Spring 2002,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records","ADV Films, Sentai Filmworks",J.C.Staff,4-koma manga,PG-13 - Teens 13 or older,555,554
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",Basilisk,TV,24,"Apr 13, 2005 to Sep 21, 2005",Completed,Spring 2005,"GDH, Kodansha, Sotsu Music Publishing",Funimation,Gonzo,Manga,R - 17+ (violence & profanity),1325,940
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",Black Cat,TV,23,"Oct 7, 2005 to Mar 31, 2006",Completed,Fall 2005,"GDH, Dentsu, TBS, Sotsu Music Publishing",Funimation,Gonzo,Manga,PG-13 - Teens 13 or older,1965,622
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",Unknown,TV,25,"Oct 5, 2005 to Mar 29, 2006",Completed,Fall 2005,"Bandai Visual, Imagine",Sentai Filmworks,Sunrise,Original,PG-13 - Teens 13 or older,6646,5061
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",Full Metal Panic!,TV,24,"Jan 8, 2002 to Jun 18, 2002",Completed,Winter 2002,Kadokawa Shoten,"ADV Films, Funimation",Gonzo,Light novel,R - 17+ (violence & profanity),1146,322
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",Full Metal Panic? Fumoffu,TV,12,"Aug 26, 2003 to Oct 18, 2003",Completed,Summer 2003,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,PG-13 - Teens 13 or older,452,571
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",Full Metal Panic! The Second Raid,TV,13,"Jul 14, 2005 to Oct 20, 2005",Completed,Summer 2005,"Kadokawa Shoten, Happinet Pictures","ADV Films, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,R - 17+ (violence & profanity),579,639
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",Gakuen Alice,TV,26,"Oct 30, 2004 to May 14, 2005",Completed,Fall 2004,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,G - All Ages,1158,1640
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",Fafner of the Blue Sky,TV,25,"Jul 5, 2004 to Dec 27, 2004",Completed,Summer 2004,"TV Tokyo Music, King Records","Funimation, Geneon Entertainment USA",Xebec,Original,PG-13 - Teens 13 or older,2348,2523
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha,TV,13,"Oct 3, 2004 to Dec 26, 2004",Completed,Fall 2004,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,PG-13 - Teens 13 or older,1828,1550
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha A's,TV,13,"Oct 2, 2005 to Dec 25, 2005",Completed,Fall 2005,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,PG-13 - Teens 13 or older,551,2075
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",Shuffle!,TV,24,"Jul 8, 2005 to Jan 6, 2006",Completed,Summer 2005,"Xebec, Lantis, Memory-Tech",Funimation,Asread,Visual novel,R+ - Mild Nudity,3231,600
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",Mobile Suit Gundam,TV,43,"Apr 7, 1979 to Jan 26, 1980",Completed,Spring 1979,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,867,1427
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",Mobile Suit Gundam:The 08th MS Team,OVA,12,"Jan 25, 1996 to Jul 25, 1999",Completed,Unknown,Atelier Musa,Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,511,1948
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam 0080:War in the Pocket,OVA,6,"Mar 25, 1989 to Aug 25, 1989",Completed,Unknown,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,677,2444
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Unknown,Movie,1,1-Aug-98,Incomplete,Unknown,"Sotsu, Atelier Musa",Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,4498,4660
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",Mobile Suit Gundam 0083:Stardust Memory,OVA,13,"May 23, 1991 to Sep 24, 1992",Completed,Unknown,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,2361,2791
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Mobile Suit Zeta Gundam,TV,50,"Mar 2, 1985 to Feb 22, 1986",Completed,Spring 1985,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,655,2159
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",Mobile Suit Gundam ZZ,TV,47,"Mar 1, 1986 to Jan 31, 1987",Completed,Spring 1986,"Sotsu, Nagoya Broadcasting Network",Nozomi Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,5111,2941
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam:Char's Counterattack,Movie,1,12-Mar-88,Incomplete,Unknown,"Sotsu, Nozomi Entertainment, Atelier Musa",Bandai Entertainment,"Sunrise, Studio Hibari",Novel,PG-13 - Teens 13 or older,1084,2773
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam F91,Movie,1,16-Mar-91,Incomplete,Unknown,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Unknown,PG-13 - Teens 13 or older,5049,3387
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit V Gundam,TV,51,"Apr 2, 1993 to Mar 25, 1994",Completed,Spring 1993,"TV Asahi, Sotsu, Apollon",Nozomi Entertainment,"Sunrise, Studio Deen",Original,PG-13 - Teens 13 or older,4632,3588
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam Wing,TV,49,"Apr 7, 1995 to Mar 29, 1996",Completed,Spring 1995,TV Asahi,Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,984,1118
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam Wing:Endless Waltz,OVA,3,"Jan 25, 1997 to Jul 25, 1997",Completed,Unknown,"Bandai Visual, Sotsu",Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,897,2512
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",After War Gundam X,TV,39,"Apr 5, 1996 to Dec 28, 1996",Completed,Spring 1996,"TV Asahi, Sotsu",Nozomi Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,2228,3043
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Mobile Suit Gundam SEED,TV,50,"Oct 5, 2002 to Sep 27, 2003",Completed,Fall 2002,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa","Bandai Entertainment, NYAV Post",Sunrise,Original,R - 17+ (violence & profanity),850,1057
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Unknown,TV,50,"Oct 9, 2004 to Oct 1, 2005",Completed,Fall 2004,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment","Bandai Entertainment, NYAV Post",Sunrise,Original,R - 17+ (violence & profanity),2687,1530
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ Gundam,TV,50,"Apr 9, 1999 to Apr 14, 2000",Completed,Spring 1999,"Sotsu, Fuji TV",Nozomi Entertainment,"Sunrise, Nakamura Production",Original,PG-13 - Teens 13 or older,1018,2714
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",Mobile Fighter G Gundam,TV,49,"Apr 1, 1994 to Mar 31, 1995",Completed,Spring 1994,"TV Asahi, Sotsu",Bandai Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,1396,2109
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",Last Exile,TV,26,"Apr 8, 2003 to Sep 30, 2003",Completed,Spring 2003,"GDH, Victor Entertainment, TV Tokyo Music","Funimation, Geneon Entertainment USA",Gonzo,Original,PG-13 - Teens 13 or older,795,995
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",My-Hime,TV,26,"Sep 30, 2004 to Mar 31, 2005",Completed,Fall 2004,"Bandai Visual, TV Tokyo Music, Studio Zain","Funimation, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,1698,1381
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",My-Otome,TV,26,"Oct 7, 2005 to Mar 31, 2006",Completed,Fall 2005,"Bandai Visual, Lantis, TV Tokyo Music","Funimation, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,2308,2370
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",Prétear:The New Legend of Snow White,TV,13,"Apr 4, 2001 to Jun 27, 2001",Completed,Spring 2001,"Kadokawa Shoten, Rondo Robe","ADV Films, Funimation",Hal Film Maker,Manga,PG-13 - Teens 13 or older,2785,2162
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",Air,TV,12,"Jan 7, 2005 to Mar 25, 2005",Completed,Winter 2005,"Pony Canyon, TBS, Movic","ADV Films, Funimation",Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,2230,563
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",Unknown,TV,26,"Apr 3, 2004 to Oct 9, 2004",Completed,Spring 2004,"Animax, Toei Video, Sunny Side Up",Unknown,TMS Entertainment,Manga,PG-13 - Teens 13 or older,1634,1529
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",Red Riding Hood Chacha,TV,74,"Jan 7, 1994 to Jun 30, 1995",Completed,Winter 1994,"Nihon Ad Systems, Shueisha",Unknown,Gallop,Manga,G - All Ages,1941,4551
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo","Ceres, Celestial Legend",TV,24,"Apr 20, 2000 to Sep 28, 2000",Completed,Spring 2000,Bandai Visual,"VIZ Media, Discotek Media",Studio Pierrot,Manga,R - 17+ (violence & profanity),2641,2182
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",Boys Be...,TV,13,"Apr 11, 2000 to Jul 4, 2000",Completed,Spring 2000,Unknown,Nozomi Entertainment,Hal Film Maker,Manga,PG-13 - Teens 13 or older,6088,3665
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",Hana Yori Dango,TV,51,"Sep 8, 1996 to Aug 31, 1997",Completed,Fall 1996,Unknown,"VIZ Media, Discotek Media",Toei Animation,Manga,PG-13 - Teens 13 or older,1027,2293
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Jing:King of Bandits,TV,13,"May 15, 2002 to Aug 14, 2002",Completed,Spring 2002,Aniplex,ADV Films,Studio Deen,Manga,PG-13 - Teens 13 or older,2625,2817
108,Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",Jing:King of Bandits - Seventh Heaven,OVA,3,"Jan 21, 2004 to Apr 28, 2004",Completed,Unknown,Aniplex,"ADV Films, Funimation",Studio Deen,Manga,PG-13 - Teens 13 or older,2367,4619
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",Burst Angel,TV,24,"Apr 7, 2004 to Sep 15, 2004",Completed,Spring 2004,"GDH, TV Asahi, Imagica",Funimation,Gonzo,Original,PG-13 - Teens 13 or older,4381,1965
